Unnamed: 0,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud,month,day_of_week,hour,age,distance
11669,2020-06-24 22:07:11,180098888332620,fraud_Bednar Group,misc_net,723.23,Dennis,Davidson,M,08469 Trujillo Forge,Springville,NY,14141,42.52,-78.6847,7728,"Scientist, research (maths)",1959-03-30,16aee906e2a1167ab8c20770a5b7cf79,1372111631,41.673916,-78.922416,1,6,3,22,65,96.01420057610632
11702,2020-06-24 22:26:26,3593118134380341,fraud_Hills-Boyer,personal_care,46.36,Laura,Casey,F,6114 Moran Way,Steuben,ME,4680,44.4971,-67.9503,1131,Make,1959-05-10,75365b9ba05a150f1751934da9b67d9b,1372112786,44.408786,-66.96074499999999,1,6,3,22,65,79.37065828483769
11710,2020-06-24 22:30:10,180098888332620,fraud_Sawayn PLC,shopping_pos,996.31,Dennis,Davidson,M,08469 Trujillo Forge,Springville,NY,14141,42.52,-78.6847,7728,"Scientist, research (maths)",1959-03-30,5b52378eee32883f0dd60e506ac911fd,1372113010,43.110777,-78.685005,1,6,3,22,65,65.62891428079114
11770,2020-06-24 23:06:34,180098888332620,"fraud_Mosciski, Ziemann and Farrell",shopping_net,902.3,Dennis,Davidson,M,08469 Trujillo Forge,Springville,NY,14141,42.52,-78.6847,7728,"Scientist, research (maths)",1959-03-30,6e37d3d1cc9d701679fd3910c20808d6,1372115194,41.940223,-78.541627,1,6,3,23,65,65.47438794725139
11780,2020-06-24 23:15:28,180098888332620,"fraud_Baumbach, Hodkiewicz and Walsh",shopping_pos,741.77,Dennis,Davidson,M,08469 Trujillo Forge,Springville,NY,14141,42.52,-78.6847,7728,"Scientist, research (maths)",1959-03-30,b971b65d32c1d9b36223370bb5744a94,1372115728,43.225233,-77.81421800000001,1,6,3,23,65,105.81376504591995
11789,2020-06-24 23:20:06,3593118134380341,fraud_Terry-Huel,shopping_net,900.77,Laura,Casey,F,6114 Moran Way,Steuben,ME,4680,44.4971,-67.9503,1131,Make,1959-05-10,53252776f86750964b0ab9b922708d15,1372116006,44.971125,-68.90919699999999,1,6,3,23,65,92.43260161159138
11799,2020-06-24 23:24:22,180098888332620,fraud_Pfeffer and Sons,shopping_pos,1047.3,Dennis,Davidson,M,08469 Trujillo Forge,Springville,NY,14141,42.52,-78.6847,7728,"Scientist, research (maths)",1959-03-30,8c171170a9bf40cd94df9c66c3ede970,1372116262,43.217469,-78.33609399999999,1,6,3,23,65,82.55225476098916
11831,2020-06-24 23:46:55,3593118134380341,fraud_Ruecker Group,misc_net,737.99,Laura,Casey,F,6114 Moran Way,Steuben,ME,4680,44.4971,-67.9503,1131,Make,1959-05-10,684959c9c371a7c2407502b86861bd76,1372117615,44.894012,-68.76144599999999,1,6,3,23,65,77.96840388530939
11842,2020-06-24 23:54:32,3593118134380341,fraud_Turcotte-Halvorson,misc_pos,49.18,Laura,Casey,F,6114 Moran Way,Steuben,ME,4680,44.4971,-67.9503,1131,Make,1959-05-10,a113daae572eb0d73af45fbc4fd5cb50,1372118072,45.216686,-67.15414100000001,1,6,3,23,65,101.75819832712702
13345,2020-06-25 18:16:26,3593118134380341,"fraud_Mosciski, Ziemann and Farrell",shopping_net,1046.97,Laura,Casey,F,6114 Moran Way,Steuben,ME,4680,44.4971,-67.9503,1131,Make,1959-05-10,1e28f4d8c246e631eaa939dbb9dfa19a,1372184186,45.05939,-68.335587,1,6,4,18,65,69.53008418871917
13741,2020-06-25 22:24:27,3593118134380341,fraud_Miller-Harris,misc_net,850.82,Laura,Casey,F,6114 Moran Way,Steuben,ME,4680,44.4971,-67.9503,1131,Make,1959-05-10,26b513dd77a2680fab058dd8b113c108,1372199067,44.386233,-68.757723,1,6,4,22,65,65.44765046122748
13806,2020-06-25 23:01:19,3593118134380341,fraud_Goyette Inc,shopping_net,976.48,Laura,Casey,F,6114 Moran Way,Steuben,ME,4680,44.4971,-67.9503,1131,Make,1959-05-10,49a574fd22e8a19f229830c40eda50b2,1372201279,44.955637,-67.503251,1,6,4,23,65,62.05415421484377
13876,2020-06-25 23:37:19,3593118134380341,fraud_Lemke and Sons,travel,4.64,Laura,Casey,F,6114 Moran Way,Steuben,ME,4680,44.4971,-67.9503,1131,Make,1959-05-10,77177e8f49edc26821f92714d1ec7669,1372203439,44.031055,-68.81560400000001,1,6,4,23,65,86.34592119221074
13897,2020-06-25 23:48:37,180098888332620,"fraud_Bahringer, Osinski and Block",food_dining,95.52,Dennis,Davidson,M,08469 Trujillo Forge,Springville,NY,14141,42.52,-78.6847,7728,"Scientist, research (maths)",1959-03-30,4c0e38b525e9490d3ca71b7e0c6de539,1372204117,43.143611,-78.708062,1,6,4,23,65,69.30293791758771
14043,2020-06-26 01:35:14,213161231269724,"fraud_Osinski, Ledner and Leuschke",grocery_pos,297.2,Alyssa,Morgan,F,622 Robin Run Suite 764,Gadsden,AL,35901,34.048,-85.9246,67082,Physiological scientist,1963-02-09,ec0fd69e21b2d1227bdd96d25061c74c,1372210514,33.248204,-85.74504499999999,1,6,5,1,61,90.26030192654198
14064,2020-06-26 01:51:55,213161231269724,fraud_Kilback LLC,grocery_pos,315.72,Alyssa,Morgan,F,622 Robin Run Suite 764,Gadsden,AL,35901,34.048,-85.9246,67082,Physiological scientist,1963-02-09,79f7c82fe50e90466309135ad1b793d9,1372211515,34.843287,-85.800046,1,6,5,1,61,88.96100088450459
14386,2020-06-26 05:56:53,213161231269724,"fraud_Schaefer, Maggio and Daugherty",gas_transport,8.32,Alyssa,Morgan,F,622 Robin Run Suite 764,Gadsden,AL,35901,34.048,-85.9246,67082,Physiological scientist,1963-02-09,01bbbf7a906610fe6f4fd20c7d4ca99a,1372226213,33.27753,-86.362105,1,6,5,5,61,94.60188888813649
14678,2020-06-26 09:31:33,6544734391390261,fraud_Kunze Inc,grocery_pos,309.04,John,Myers,M,701 Wilson Divide,Highland,IN,46322,41.55,-87.4569,23727,Community arts worker,1982-02-08,442a3b75f70a884b86275f9db67f17a5,1372239093,40.821649,-86.546862,1,6,5,9,42,111.2300912261708
15411,2020-06-26 16:34:06,213161231269724,"fraud_Schiller, Blanda and Johnson",home,219.46,Alyssa,Morgan,F,622 Robin Run Suite 764,Gadsden,AL,35901,34.048,-85.9246,67082,Physiological scientist,1963-02-09,d002efc2db8e4a586a955557a3543ac4,1372264446,33.227584,-86.050751,1,6,5,16,61,91.74667397218155
16050,2020-06-26 22:08:07,213161231269724,"fraud_Herman, Treutel and Dickens",misc_net,749.59,Alyssa,Morgan,F,622 Robin Run Suite 764,Gadsden,AL,35901,34.048,-85.9246,67082,Physiological scientist,1963-02-09,decbf2d0117525e5104b9c8bf353dd1c,1372284487,34.483166,-86.33510799999999,1,6,5,22,61,61.31440345220995
16078,2020-06-26 22:20:01,213161231269724,fraud_Heathcote LLC,shopping_net,1129.53,Alyssa,Morgan,F,622 Robin Run Suite 764,Gadsden,AL,35901,34.048,-85.9246,67082,Physiological scientist,1963-02-09,7950c9c41b8854359ef6307ed6d15678,1372285201,34.539133,-86.76194100000001,1,6,5,22,61,94.39763382654607
16155,2020-06-26 22:55:04,213161231269724,fraud_Volkman Ltd,misc_net,844.29,Alyssa,Morgan,F,622 Robin Run Suite 764,Gadsden,AL,35901,34.048,-85.9246,67082,Physiological scientist,1963-02-09,e8cdb55d2b4a6f26f9d999bcd65fead1,1372287304,34.590163000000004,-85.76717099999999,1,6,5,22,61,61.86192352182687
16196,2020-06-26 23:18:46,6544734391390261,fraud_Schumm PLC,shopping_net,949.88,John,Myers,M,701 Wilson Divide,Highland,IN,46322,41.55,-87.4569,23727,Community arts worker,1982-02-08,913d395d3dfc5d93fdf25dc9f7870653,1372288726,41.618135,-87.55474699999999,1,6,5,23,42,11.128329241703666
16229,2020-06-26 23:37:45,6544734391390261,fraud_Boyer PLC,shopping_net,935.06,John,Myers,M,701 Wilson Divide,Highland,IN,46322,41.55,-87.4569,23727,Community arts worker,1982-02-08,9d24c700341ca7aa0e9b3d48fcf4e2b1,1372289865,41.155063,-86.64502900000001,1,6,5,23,42,80.86934223904954
16231,2020-06-26 23:38:10,6544734391390261,fraud_Kerluke-Abshire,shopping_net,1025.61,John,Myers,M,701 Wilson Divide,Highland,IN,46322,41.55,-87.4569,23727,Community arts worker,1982-02-08,92cb4901841afb9c374df14d36dfac38,1372289890,41.802631,-88.38959200000001,1,6,5,23,42,82.57727359703873
16326,2020-06-27 00:42:18,3573386445588324,"fraud_Stroman, Hudson and Erdman",gas_transport,18.25,Stephanie,Murphy,F,526 Stacy Walks,Barnard,SD,57426,45.7205,-98.5534,63,Systems developer,1969-10-30,2e8c9135069fbe6f5aa93a8fa2ac655f,1372293738,44.744951,-98.214561,1,6,6,0,55,111.63592762346232
16365,2020-06-27 01:14:25,6544734391390261,fraud_Koss and Sons,gas_transport,11.82,John,Myers,M,701 Wilson Divide,Highland,IN,46322,41.55,-87.4569,23727,Community arts worker,1982-02-08,bbcd797cf07dcba83d609ee6a5b79f6f,1372295665,41.554511,-87.016728,1,6,6,1,42,36.72649400809312
16442,2020-06-27 02:06:49,6544734391390261,"fraud_Tillman, Fritsch and Schmitt",misc_net,764.71,John,Myers,M,701 Wilson Divide,Highland,IN,46322,41.55,-87.4569,23727,Community arts worker,1982-02-08,edcfe3e9c8859adcb31bba8bdb90286d,1372298809,41.870903000000006,-87.172741,1,6,6,2,42,42.77415463186079
16575,2020-06-27 03:48:35,6544734391390261,fraud_Hackett-Lueilwitz,grocery_pos,294.78,John,Myers,M,701 Wilson Divide,Highland,IN,46322,41.55,-87.4569,23727,Community arts worker,1982-02-08,d5ae7acabb0e7eac640e72d0e5c0528f,1372304915,41.505282,-86.715398,1,6,6,3,42,62.08502002340789
17711,2020-06-27 16:14:03,6544734391390261,fraud_Schumm PLC,shopping_net,917.11,John,Myers,M,701 Wilson Divide,Highland,IN,46322,41.55,-87.4569,23727,Community arts worker,1982-02-08,75c0ae4b4a70b9905579fcb4b612569e,1372349643,40.691289000000005,-87.41234399999999,1,6,6,16,42,95.43859612487427
18142,2020-06-27 19:47:59,3573386445588324,fraud_Volkman Ltd,misc_net,667.17,Stephanie,Murphy,F,526 Stacy Walks,Barnard,SD,57426,45.7205,-98.5534,63,Systems developer,1969-10-30,276495f58de3af46843647fdd00843eb,1372362479,46.0403,-97.71046,1,6,6,19,55,74.46779789470726
18458,2020-06-27 22:23:08,6544734391390261,fraud_Mosciski Group,travel,9.99,John,Myers,M,701 Wilson Divide,Highland,IN,46322,41.55,-87.4569,23727,Community arts worker,1982-02-08,4bfcd98ca90ac23496def4c6a39120db,1372371788,41.104946000000005,-87.261548,1,6,6,22,42,52.063119966956485
18487,2020-06-27 22:39:07,3573386445588324,fraud_Zboncak LLC,food_dining,135.82,Stephanie,Murphy,F,526 Stacy Walks,Barnard,SD,57426,45.7205,-98.5534,63,Systems developer,1969-10-30,c3ba6123277e80c42c5190ddd6867c37,1372372747,45.419993,-97.823968,1,6,6,22,55,66.0123115881819
18509,2020-06-27 22:55:13,3573386445588324,fraud_Spencer PLC,entertainment,614.72,Stephanie,Murphy,F,526 Stacy Walks,Barnard,SD,57426,45.7205,-98.5534,63,Systems developer,1969-10-30,140105375e97c577a1a0d363e4cedcd4,1372373713,44.920705,-99.264799,1,6,6,22,55,104.93788110983765
18534,2020-06-27 23:04:11,213161231269724,"fraud_Towne, Greenholt and Koepp",shopping_net,996.41,Alyssa,Morgan,F,622 Robin Run Suite 764,Gadsden,AL,35901,34.048,-85.9246,67082,Physiological scientist,1963-02-09,3d267ca2d3dfdd0330952d5e751fc11d,1372374251,34.247756,-84.94930500000001,1,6,6,23,61,92.6346253177378
18537,2020-06-27 23:07:02,213161231269724,fraud_Medhurst PLC,shopping_net,895.25,Alyssa,Morgan,F,622 Robin Run Suite 764,Gadsden,AL,35901,34.048,-85.9246,67082,Physiological scientist,1963-02-09,e97bba7a016e370eb4523ef437e3020a,1372374422,33.710897,-85.09965600000001,1,6,6,23,61,84.98683932333243
18572,2020-06-27 23:26:42,213161231269724,fraud_Bashirian Group,shopping_net,1134.41,Alyssa,Morgan,F,622 Robin Run Suite 764,Gadsden,AL,35901,34.048,-85.9246,67082,Physiological scientist,1963-02-09,815353b246f784616181388d7be9000d,1372375602,33.114693,-85.83744300000001,1,6,6,23,61,103.8333342265971
18885,2020-06-28 02:01:49,3581130339108561,fraud_Heidenreich PLC,grocery_pos,314.28,Gregory,Wood,M,622 Robert Summit,Akron,OH,44307,41.0695,-81.5488,272134,Call centre manager,1964-03-15,cc544877174677085ec9ae06d02d2c85,1372384909,40.256607,-81.036006,1,6,7,2,60,100.14415767908814
19034,2020-06-28 03:23:52,3573386445588324,"fraud_Schumm, Bauch and Ondricka",grocery_pos,319.53,Stephanie,Murphy,F,526 Stacy Walks,Barnard,SD,57426,45.7205,-98.5534,63,Systems developer,1969-10-30,75c12eac15ec1bfcfa937d917e5e7cf1,1372389832,45.247843,-98.280882,1,6,7,3,55,56.6876435951109
19392,2020-06-28 06:58:06,3581130339108561,"fraud_Schultz, Simonis and Little",grocery_pos,241.45,Gregory,Wood,M,622 Robert Summit,Akron,OH,44307,41.0695,-81.5488,272134,Call centre manager,1964-03-15,b85e1410861909e7bd3bdd1af343a589,1372402686,40.19583,-81.59141899999999,1,6,7,6,60,97.08524530068664
21721,2020-06-28 22:12:08,3581130339108561,"fraud_Labadie, Treutel and Bode",shopping_net,1159.89,Gregory,Wood,M,622 Robert Summit,Akron,OH,44307,41.0695,-81.5488,272134,Call centre manager,1964-03-15,8a6c3bd7b38794bb2355ee761f5325b5,1372457528,40.763354,-81.317657,1,6,7,22,60,39.17941520905238
21747,2020-06-28 22:21:29,3573386445588324,fraud_Gerlach Inc,shopping_net,1051.14,Stephanie,Murphy,F,526 Stacy Walks,Barnard,SD,57426,45.7205,-98.5534,63,Systems developer,1969-10-30,64e62a158d8caaa54ad30e767fd8cab3,1372458089,46.45845,-98.578936,1,6,7,22,55,82.04917499374825
21937,2020-06-28 23:24:26,3581130339108561,fraud_Fisher-Schowalter,shopping_net,1142.66,Gregory,Wood,M,622 Robert Summit,Akron,OH,44307,41.0695,-81.5488,272134,Call centre manager,1964-03-15,6cc195cdb0c39f3ab5d2b1a5860b86a2,1372461866,41.894724,-81.866035,1,6,7,23,60,95.40467735953526
21953,2020-06-28 23:28:24,3573386445588324,fraud_Miller-Harris,misc_net,777.75,Stephanie,Murphy,F,526 Stacy Walks,Barnard,SD,57426,45.7205,-98.5534,63,Systems developer,1969-10-30,745d3d22bf0b7eb753d2d08899f9666a,1372462104,45.128934,-98.292388,1,6,7,23,55,68.84685120844907
22015,2020-06-28 23:48:51,3581130339108561,"fraud_Heathcote, Yost and Kertzmann",shopping_net,1197.26,Gregory,Wood,M,622 Robert Summit,Akron,OH,44307,41.0695,-81.5488,272134,Call centre manager,1964-03-15,041e573c99f5f86a5110a99a2227d976,1372463331,40.199599,-81.10859599999999,1,6,7,23,60,103.52911858704951
22087,2020-06-29 00:15:24,571844099986,"fraud_Schoen, Kuphal and Nitzsche",grocery_pos,307.26,Susan,Mills,F,005 Cody Estates,Louisville,KY,40202,38.2507,-85.7476,736284,Engineering geologist,1952-04-02,3c07233862b52f7f1956a87a881df970,1372464924,37.582402,-85.696596,1,6,1,0,72,74.31312332923362
22236,2020-06-29 01:17:03,4761403817546679245,fraud_Lemke-Gutmann,shopping_net,969.7,Diana,Jacobs,F,69608 Perez Mountain Apt. 006,Viola,AR,72583,36.3924,-91.9932,1679,Psychiatric nurse,1986-05-02,4afe8724ad1ed51bca2f0d08c9529e3b,1372468623,37.310617,-92.913015,1,6,1,1,38,130.81443487128516
22256,2020-06-29 01:29:03,3581130339108561,"fraud_Goldner, Kovacek and Abbott",grocery_pos,314.73,Gregory,Wood,M,622 Robert Summit,Akron,OH,44307,41.0695,-81.5488,272134,Call centre manager,1964-03-15,cbe1550ef2f98882371a0f8a4c69f9ac,1372469343,40.870022,-81.91135,1,6,1,1,60,37.70986343824275
22353,2020-06-29 02:10:13,4761403817546679245,fraud_Auer-Mosciski,grocery_pos,347.63,Diana,Jacobs,F,69608 Perez Mountain Apt. 006,Viola,AR,72583,36.3924,-91.9932,1679,Psychiatric nurse,1986-05-02,8c4c540bf889c0b690f005edae8ebaec,1372471813,37.370362,-91.874828,1,6,1,2,38,109.04156106651386
22379,2020-06-29 02:23:28,3528231451607350,"fraud_Schultz, Simonis and Little",grocery_pos,342.87,Lauren,Moreno,F,83719 Wilson Shore,Heislerville,NJ,8324,39.224,-74.9942,526,Exercise physiologist,1940-09-06,5b2e5ab411dfd8712bce667fc37487ec,1372472608,39.533647,-75.101612,1,6,1,2,84,35.60181430855665
22427,2020-06-29 02:44:41,571844099986,fraud_Kunze Inc,grocery_pos,291.15,Susan,Mills,F,005 Cody Estates,Louisville,KY,40202,38.2507,-85.7476,736284,Engineering geologist,1952-04-02,d1fee4e236e02808b987557689681670,1372473881,37.790394,-85.506713,1,6,1,2,72,55.29771497796744
22547,2020-06-29 03:32:01,3528231451607350,"fraud_Schultz, Simonis and Little",grocery_pos,326.49,Lauren,Moreno,F,83719 Wilson Shore,Heislerville,NJ,8324,39.224,-74.9942,526,Exercise physiologist,1940-09-06,96fb1e00060b63140d16a3fe25fdc018,1372476721,40.115189,-75.488261,1,6,1,3,84,107.64547499983435
23015,2020-06-29 06:55:59,4761403817546679245,fraud_Gleason-Macejkovic,shopping_net,1071.19,Diana,Jacobs,F,69608 Perez Mountain Apt. 006,Viola,AR,72583,36.3924,-91.9932,1679,Psychiatric nurse,1986-05-02,ea34095276881590a94477b94f1e4ef5,1372488959,36.218266,-91.793638,1,6,1,6,38,26.35570776572185
